"","AGEP","Major","Major_Category","BSc","Wages.mn","Wages.md","Wages.sd","Wages.n","Earnings.mn","Earnings.md","Earnings.sd","Earnings.n"
"1",18,"None","None",0,8075.55444645766,4638.755,9796.8599402799,4912,8367.32862946356,4840.44,10986.2587076365,4912
"2",19,"None","None",0,11187.6218095238,8067.4,13578.3637320115,8778,11381.7995690476,8067.4,14014.680139991,8778
"3",20,"None","None",0,14546.2536196522,12101.1,12526.2764653377,10925,14789.8375938261,12101.1,13229.97121524,10925
"4",21,"None","None",0,16846.2765359376,15126.375,13437.3048519499,11673,17169.5082374218,15126.375,13686.8678104444,11673
"5",22,"None","None",0,19270.8210254985,18151.65,15984.3438570168,11383,19613.1710808025,18151.65,16287.141598678,11383
"6",23,"None","None",0,21110.5710336212,20168.5,15980.9710937053,11637,21598.3951758701,20168.5,16455.0261959677,11637
"7",24,"None","None",0,22602.3226898992,20168.5,17157.3769776295,11410,23144.1963726074,20168.5,17631.7917184921,11410
"8",25,"None","None",0,26252.9013380925,24000.515,21755.4841137201,12047,27175.3137209077,24202.2,22360.4564527454,12047
"9",26,"None","None",0,27350.6040226046,24908.0975,20538.7080593301,11303,28212.5359980779,25210.625,20953.065508493,11303
"10",27,"None","None",0,28466.1779036058,25210.625,23628.3262661002,11440,29520.498141226,25210.625,24379.8970705002,11440
"11",28,"None","None",0,29863.6399792916,26219.05,24623.0616540019,11843,31019.7831911192,26219.05,25156.7142106543,11843
"12",29,"None","None",0,30930.6600778784,27227.475,24755.5064901953,11534,32117.0058179534,27731.6875,25242.3138658987,11534
"13",30,"None","None",0,31801.8641295509,27227.475,26860.5245154585,12113,33318.4335130087,28235.9,28074.6245709428,12113
"14",31,"None","None",0,32886.0986804671,29244.325,28001.1627395423,11624,34385.8771133969,30252.75,28941.9965210018,11624
"15",32,"None","None",0,32985.2947511858,29042.64,27401.4750344221,11806,34712.8238091182,30252.75,28568.6986031141,11806
"16",33,"None","None",0,34321.9086800761,30252.75,28707.6339324801,11820,36175.6254606916,30252.75,29748.5649503568,11820
"17",34,"None","None",0,34448.1708096403,30252.75,30159.1268236459,12064,36328.073367774,30252.75,31155.8118141705,12064
"18",35,"None","None",0,36739.1894621029,30252.75,31887.465750206,12245,38895.7337896693,32269.6,33455.779159297,12245
"19",36,"None","None",0,37616.4029335714,32269.6,32199.3526225907,11550,39747.1166013333,32773.8125,33327.7691037533,11550
"20",37,"None","None",0,38618.8091916716,32269.6,34050.7518225981,11731,41094.4190688134,33580.5525,36201.7060704405,11731
"21",38,"None","None",0,38574.7627150673,32269.6,33264.3462488143,11744,41197.1982029462,33883.08,35482.3765707269,11744
"22",39,"None","None",0,39514.5247469112,32672.97,35524.4567481505,11817,42190.1570299928,35294.875,37710.8501926194,11817
"23",40,"None","None",0,39034.4421708216,32269.6,34587.2176778006,12732,41497.3729931334,35294.875,35853.4614675438,12732
"24",41,"None","None",0,39590.8908781417,33278.025,35519.0303275442,11952,42561.2078968624,35294.875,38606.0145937993,11952
"25",42,"None","None",0,40031.1019199985,34286.45,34645.312647497,13206,42681.1575246233,35294.875,35795.1605527288,13206
"26",43,"None","None",0,41065.2663871737,35294.875,36286.4216243552,13714,43616.1092642555,35294.875,37925.1892230463,13714
"27",44,"None","None",0,41107.7599475675,34891.505,36528.8439279157,13895,43720.4488357359,35294.875,37880.4380725695,13895
"28",45,"None","None",0,40900.1783844053,35294.875,35869.8594500599,14335,43642.6111705005,35294.875,37296.2402723667,14335
"29",46,"None","None",0,42324.3296281136,35294.875,39087.1496490149,13995,45179.0862655216,36303.3,41076.0495376498,13995
"30",47,"None","None",0,41812.2705951879,35294.875,37751.9606857705,14474,44705.8920676195,36303.3,39278.103857104,14474
"31",48,"None","None",0,42272.1350149672,35294.875,38675.0482657964,15083,45225.4705279188,36706.67,41003.1988743817,15083
"32",49,"None","None",0,42034.6806776471,35294.875,36524.8461422718,16150,45090.8585027353,37110.04,38653.62389088,16150
"33",50,"None","None",0,42526.0885155268,35294.875,37998.4682075059,17853,45697.0424900493,37311.725,39805.3013453983,17853
"34",51,"None","None",0,42715.7863152358,35294.875,38242.5993955553,16750,45952.9904081239,38219.3075,40818.540158132,16750
"35",52,"None","None",0,43340.8886912088,36303.3,37970.3176187449,17290,46724.7671450275,38320.15,40847.8433512919,17290
"36",53,"None","None",0,43550.5154823392,36303.3,39474.5472378665,17553,46821.6833107574,38320.15,41682.8667128585,17553
"37",54,"None","None",0,43975.6414128128,37311.725,38568.6919706835,17506,47453.6196283446,39328.575,41239.4274623209,17506
"38",55,"None","None",0,44032.3693266844,36303.3,39837.9831478622,17647,47182.6646832238,38420.9925,41328.3477949218,17647
"39",56,"None","None",0,43462.5269313305,36303.3,38169.0107387433,16693,46871.926617747,38320.15,41287.4817433453,16693
"40",57,"None","None",0,43716.0380955622,36303.3,39546.3841081011,16123,47080.6577713794,38320.15,41721.0560406578,16123
"41",58,"None","None",0,43830.479454541,36303.3,41255.392451328,15349,47428.4857179719,38320.15,43647.9008862655,15349
"42",59,"None","None",0,43336.2705320901,36303.3,40473.9359013529,14559,46636.6475292671,38320.15,41626.817999326,14559
"43",60,"None","None",0,42966.9803311025,35294.875,41000.8607028653,13732,46574.145196195,37311.725,43821.6418613874,13732
"44",61,"None","None",0,42744.9193442548,35294.875,41679.8660668107,12219,46240.8695123271,36504.985,44725.4804839228,12219
"45",62,"None","None",0,41871.4085801682,35294.875,39444.8903169988,10584,45326.712434571,36303.3,43183.6887809519,10584
"46",63,"None","None",0,41618.089910937,35294.875,39698.0547764286,8581,44958.0674299819,36303.3,41265.5351673053,8581
"47",64,"None","None",0,42623.2901148804,35294.875,43996.8201134035,7231,46190.3144260303,36303.3,46286.1832847452,7231
"48",23,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,38673.09875,34891.505,23138.0986512816,4,38673.09875,34891.505,23138.0986512816,4
"49",24,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,82791.6925,41849.6375,128599.233546613,6,107666.175833333,45379.125,164897.348472846,6
"50",25,"AGRICULTURAL ECONOMICS","Agriculture & Natural Resources",1,52942.3125,52942.3125,39218.5285699924,2,52942.3125,52942.3125,39218.5285699924,2
